epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1538.79,0.63628,0.70955,1.07846,0.60251,0.42237,0.42282,0.30114,1.0629,1.49339,1.35996,0.0004258,0.0004258,0.0004258
60,1565.19,0.6453,0.71013,1.0738,0.4917,0.57065,0.50316,0.35124,1.01122,1.35841,1.30335,0.0004159,0.0004159,0.0004159
61,1591.6,0.63717,0.6828,1.07261,0.46051,0.54851,0.5095,0.37814,1.0321,1.38548,1.34299,0.000406,0.000406,0.000406
62,1618.1,0.63578,0.71184,1.09267,0.48145,0.54545,0.50736,0.34591,1.07569,1.40358,1.39288,0.0003961,0.0003961,0.0003961
63,1644.46,0.62182,0.69974,1.08148,0.50866,0.50314,0.49005,0.35602,1.08894,1.43108,1.37921,0.0003862,0.0003862,0.0003862
64,1670.85,0.60664,0.66372,1.0652,0.57983,0.49665,0.50048,0.3535,1.04777,1.34317,1.36631,0.0003763,0.0003763,0.0003763
65,1697.28,0.6231,0.69006,1.07356,0.69306,0.47546,0.44372,0.32332,1.04553,1.46112,1.35546,0.0003664,0.0003664,0.0003664
66,1725.11,0.60394,0.67371,1.05105,0.58763,0.4331,0.43193,0.31445,1.05331,1.45481,1.37161,0.0003565,0.0003565,0.0003565
67,1751.91,0.60134,0.64291,1.05678,0.7671,0.47682,0.50291,0.36886,1.03641,1.37518,1.35325,0.0003466,0.0003466,0.0003466
68,1778.61,0.57255,0.64286,1.04786,0.60345,0.39917,0.42492,0.31159,1.04633,1.4779,1.36218,0.0003367,0.0003367,0.0003367
69,1805.12,0.5878,0.64257,1.05511,0.42345,0.52231,0.4535,0.33346,1.0476,1.4175,1.35819,0.0003268,0.0003268,0.0003268
70,1831.66,0.56481,0.61778,1.04072,0.53027,0.47597,0.48866,0.36305,1.04979,1.46431,1.35811,0.0003169,0.0003169,0.0003169
71,1858.2,0.57016,0.62691,1.0408,0.58902,0.46352,0.50093,0.3707,1.01631,1.39925,1.32408,0.000307,0.000307,0.000307
72,1884.62,0.56398,0.59121,1.0425,0.58087,0.49226,0.49525,0.35992,1.02529,1.45048,1.35285,0.0002971,0.0002971,0.0002971
73,1911.34,0.56315,0.57386,1.03374,0.59084,0.46019,0.48906,0.36682,1.01287,1.49972,1.33985,0.0002872,0.0002872,0.0002872
74,1937.72,0.54269,0.56202,1.02053,0.38496,0.47194,0.45385,0.33366,1.02895,1.51209,1.33404,0.0002773,0.0002773,0.0002773
75,1964.38,0.52841,0.5562,1.02071,0.4576,0.52968,0.4674,0.33131,1.04433,1.41943,1.36058,0.0002674,0.0002674,0.0002674
76,1990.96,0.54936,0.54834,1.02277,0.79435,0.47753,0.50524,0.36768,1.03398,1.44811,1.343,0.0002575,0.0002575,0.0002575
77,2017.71,0.53425,0.54234,1.02042,0.77705,0.46822,0.4963,0.36128,1.03102,1.44551,1.35626,0.0002476,0.0002476,0.0002476
78,2044.41,0.54565,0.56637,1.02623,0.69752,0.47865,0.45843,0.33611,1.04117,1.43209,1.36785,0.0002377,0.0002377,0.0002377
79,2071.07,0.53359,0.55633,1.0129,0.63808,0.4672,0.50094,0.37164,1.01191,1.40569,1.34947,0.0002278,0.0002278,0.0002278
80,2097.91,0.51907,0.54023,1.01037,0.63749,0.44421,0.4997,0.37306,1.05067,1.49361,1.38674,0.0002179,0.0002179,0.0002179
81,2124.52,0.54961,0.5603,1.0295,0.78154,0.46169,0.49125,0.3574,1.03446,1.46073,1.36741,0.000208,0.000208,0.000208
82,2151.05,0.51086,0.5213,1.01019,0.74117,0.50485,0.5022,0.37604,1.01455,1.43734,1.35314,0.0001981,0.0001981,0.0001981
83,2177.45,0.49129,0.48828,0.9986,0.58857,0.47848,0.4945,0.35867,1.04783,1.54677,1.37898,0.0001882,0.0001882,0.0001882
84,2204.13,0.49938,0.49839,1.00232,0.7625,0.45975,0.49401,0.36211,1.02447,1.50905,1.37028,0.0001783,0.0001783,0.0001783
85,2230.74,0.50596,0.50456,0.99437,0.37742,0.44389,0.43106,0.31672,1.01533,1.52224,1.35768,0.0001684,0.0001684,0.0001684
86,2257.14,0.49442,0.51365,1.00129,0.52949,0.46443,0.49786,0.37,1.01132,1.48876,1.34322,0.0001585,0.0001585,0.0001585
87,2284.03,0.47976,0.50107,0.99435,0.58679,0.41039,0.41584,0.3068,1.02098,1.48717,1.35538,0.0001486,0.0001486,0.0001486
88,2310.51,0.47464,0.4725,0.98273,0.42011,0.5064,0.44077,0.32644,1.03786,1.48697,1.36275,0.0001387,0.0001387,0.0001387
89,2336.94,0.47532,0.47874,0.98471,0.37592,0.45322,0.4306,0.31868,1.02586,1.5144,1.35854,0.0001288,0.0001288,0.0001288
90,2363.56,0.47221,0.48207,0.98242,0.54863,0.52274,0.5015,0.37752,1.0273,1.47872,1.35813,0.0001189,0.0001189,0.0001189
91,2481.08,0.44049,0.39605,0.93937,0.59886,0.43168,0.48909,0.36036,1.05373,1.49937,1.39561,0.000109,0.000109,0.000109
92,2507.71,0.41446,0.34191,0.92058,0.46526,0.52741,0.44895,0.33139,1.04383,1.49717,1.39657,9.91e-05,9.91e-05,9.91e-05
93,2533.6,0.41831,0.35636,0.92282,0.54251,0.46431,0.49261,0.36824,1.04236,1.51149,1.39674,8.92e-05,8.92e-05,8.92e-05
94,2559.61,0.40785,0.35843,0.93484,0.6012,0.46393,0.49195,0.36963,1.05448,1.50117,1.41156,7.93e-05,7.93e-05,7.93e-05
95,2585.91,0.40621,0.33589,0.9235,0.58767,0.47922,0.4922,0.36864,1.04495,1.51538,1.40028,6.94e-05,6.94e-05,6.94e-05
96,2612.11,0.40852,0.33535,0.92087,0.47241,0.5109,0.49445,0.37371,1.02264,1.48148,1.38165,5.95e-05,5.95e-05,5.95e-05
97,2638.16,0.39297,0.31106,0.90493,0.46887,0.4957,0.4365,0.32509,1.038,1.49294,1.3813,4.96e-05,4.96e-05,4.96e-05
98,2664.21,0.37528,0.3087,0.90797,0.4638,0.48914,0.43584,0.3244,1.03827,1.5334,1.39278,3.97e-05,3.97e-05,3.97e-05
99,2690.17,0.37861,0.31289,0.90615,0.51571,0.47342,0.44904,0.33657,1.05699,1.55252,1.41319,2.98e-05,2.98e-05,2.98e-05
100,2716.22,0.37975,0.31116,0.90397,0.53545,0.48626,0.4907,0.36743,1.05164,1.53544,1.40457,1.99e-05,1.99e-05,1.99e-05
